Time,Oxygen Level,Pulse Rate,Motion
22:16:04 02/07/2026,97,55,0
22:16:05 02/07/2026,97,55,0
22:16:06 02/07/2026,97,55,0
22:16:07 02/07/2026,97,55,0
22:16:08 02/07/2026,97,55,0
22:16:09 02/07/2026,97,54,0
22:16:10 02/07/2026,97,53,0
22:16:11 02/07/2026,97,53,0
22:16:12 02/07/2026,97,52,0
22:16:13 02/07/2026,97,52,0
22:16:14 02/07/2026,98,52,0
22:16:15 02/07/2026,98,51,0
22:16:16 02/07/2026,98,51,0
22:16:17 02/07/2026,98,52,0
22:16:18 02/07/2026,98,52,0
22:16:19 02/07/2026,97,52,0
22:16:20 02/07/2026,97,51,0
22:16:21 02/07/2026,97,51,0
22:16:22 02/07/2026,96,51,0
22:16:23 02/07/2026,96,51,0
22:16:24 02/07/2026,96,51,0
22:16:25 02/07/2026,96,51,0
22:16:26 02/07/2026,96,51,0
22:16:27 02/07/2026,96,51,0
22:16:28 02/07/2026,96,51,0
22:16:29 02/07/2026,96,51,0
22:16:30 02/07/2026,96,51,0
22:16:31 02/07/2026,97,51,0
22:16:32 02/07/2026,97,50,0
22:16:33 02/07/2026,97,50,0
22:16:34 02/07/2026,97,50,0
22:16:35 02/07/2026,97,50,0
22:16:36 02/07/2026,97,49,0
22:16:37 02/07/2026,97,49,0
22:16:38 02/07/2026,96,49,0
22:16:39 02/07/2026,96,49,0
22:16:40 02/07/2026,96,49,0
22:16:41 02/07/2026,96,49,0
22:16:42 02/07/2026,95,48,0
22:16:43 02/07/2026,95,48,0
22:16:44 02/07/2026,95,49,0
22:16:45 02/07/2026,95,49,0
22:16:46 02/07/2026,95,48,0
22:16:47 02/07/2026,95,48,0
22:16:48 02/07/2026,95,49,0
22:16:49 02/07/2026,95,49,0
22:16:50 02/07/2026,95,49,0
22:16:51 02/07/2026,95,49,0
22:16:52 02/07/2026,95,49,0
22:16:53 02/07/2026,95,49,0
22:16:54 02/07/2026,95,49,0
22:16:55 02/07/2026,95,49,0
22:16:56 02/07/2026,95,48,0
22:16:57 02/07/2026,95,49,0
22:16:58 02/07/2026,95,49,0
22:16:59 02/07/2026,95,49,0
22:17:00 02/07/2026,95,49,0
22:17:01 02/07/2026,95,49,0
22:17:02 02/07/2026,95,49,0
22:17:03 02/07/2026,96,49,0
22:17:04 02/07/2026,96,49,0
22:17:05 02/07/2026,96,49,0
22:17:06 02/07/2026,97,49,0
22:17:07 02/07/2026,97,48,0
22:17:08 02/07/2026,97,48,0
22:17:09 02/07/2026,97,48,0
22:17:10 02/07/2026,97,48,0
22:17:11 02/07/2026,96,48,0
22:17:12 02/07/2026,96,48,0
22:17:13 02/07/2026,96,48,0
22:17:14 02/07/2026,96,48,0
22:17:15 02/07/2026,96,49,0
22:17:16 02/07/2026,96,49,0
22:17:17 02/07/2026,96,49,0
22:17:18 02/07/2026,95,48,0
22:17:19 02/07/2026,95,48,0
22:17:20 02/07/2026,95,49,0
22:17:21 02/07/2026,95,49,0
22:17:22 02/07/2026,95,49,0
22:17:23 02/07/2026,95,49,0
22:17:24 02/07/2026,95,49,0
22:17:25 02/07/2026,95,49,0
22:17:26 02/07/2026,96,49,0
22:17:27 02/07/2026,96,49,0
22:17:28 02/07/2026,96,49,0
22:17:29 02/07/2026,97,48,0
22:17:30 02/07/2026,97,48,0
